poiID,poiCat,poiLon,poiLat
98,UNK,116.34,39.94
99,UNK,116.33,39.94
100,UNK,116.32,39.94
101,UNK,116.34,39.97
102,UNK,116.34,39.96
103,UNK,116.35,39.95
104,UNK,116.35,39.94
105,UNK,116.37,39.95
106,UNK,116.37,39.94
107,UNK,116.38,39.94
108,UNK,116.39,39.94
109,UNK,116.39,39.93
110,UNK,116.38,39.93
111,UNK,116.37,39.93
112,UNK,116.36,39.93
113,UNK,116.33,39.95
114,UNK,116.33,39.96
115,UNK,116.47,39.98
116,UNK,116.48,39.99
117,UNK,116.49,40.0
118,UNK,116.54,40.03
119,UNK,116.57,40.03
120,UNK,116.58,40.04
121,UNK,116.28,39.98
122,UNK,116.27,39.97
123,UNK,116.27,39.96
124,UNK,116.27,39.95
125,UNK,116.27,39.94
126,UNK,116.27,39.93
127,UNK,116.26,39.92
128,UNK,116.25,39.92
129,UNK,116.23,39.92
130,UNK,116.22,39.92
131,UNK,116.21,39.92
132,UNK,116.21,39.91
133,UNK,116.2,39.91
134,UNK,116.2,39.9
135,UNK,116.2,39.89
136,UNK,116.2,39.87
137,UNK,116.21,39.86
138,UNK,116.21,39.85
139,UNK,116.22,39.84
140,UNK,116.23,39.83
141,UNK,116.25,39.82
142,UNK,116.25,39.81
143,UNK,116.26,39.8
144,UNK,116.26,39.79
145,UNK,116.27,39.78
146,UNK,116.28,39.77
147,UNK,116.29,39.78
148,UNK,116.3,39.77
149,UNK,116.3,39.76
150,UNK,116.28,39.79
151,UNK,116.28,39.8
152,UNK,116.29,39.81
153,UNK,116.28,39.81
154,UNK,116.28,39.82
155,UNK,116.28,39.83
156,UNK,116.28,39.84
157,UNK,116.28,39.85
158,UNK,116.28,39.86
159,UNK,116.27,39.88
160,UNK,116.27,39.89
161,UNK,116.27,39.9
162,UNK,116.27,39.91
163,UNK,116.27,39.92
164,UNK,116.28,39.97
165,UNK,116.25,39.93
166,UNK,116.2,39.92
167,UNK,116.21,39.89
168,UNK,116.2,39.88
169,UNK,116.29,39.77
170,UNK,116.28,39.78
171,UNK,116.27,39.87
172,UNK,116.26,39.9
173,UNK,116.24,39.9
174,UNK,116.23,39.9
175,UNK,116.21,39.9
176,UNK,116.22,39.85
177,UNK,116.24,39.83
178,UNK,116.26,39.81
179,UNK,116.21,39.87
180,UNK,116.26,39.78
181,UNK,116.27,39.77
182,UNK,116.28,39.87
183,UNK,116.23,39.84
184,UNK,116.23,39.85
185,UNK,116.24,39.86
186,UNK,116.25,39.86
187,UNK,116.26,39.87
188,UNK,116.47,39.91
189,UNK,116.48,39.91
190,UNK,116.49,39.91
191,UNK,116.5,39.91
192,UNK,116.51,39.91
193,UNK,116.53,39.91
194,UNK,116.54,39.91
195,UNK,116.56,39.91
196,UNK,116.57,39.91
197,UNK,116.58,39.91
198,UNK,116.6,39.91
199,UNK,116.61,39.91
200,UNK,116.62,39.91
201,UNK,116.63,39.92
202,UNK,116.64,39.93
203,UNK,116.65,39.93
204,UNK,116.65,39.92
205,UNK,116.67,39.92
206,UNK,116.68,39.92
207,UNK,116.7,39.92
208,UNK,116.71,39.92
209,UNK,116.72,39.93
210,UNK,116.74,39.93
211,UNK,116.75,39.93
212,UNK,116.76,39.93
213,UNK,116.77,39.94
214,UNK,116.79,39.94
215,UNK,116.8,39.94
216,UNK,116.79,39.95
217,UNK,116.8,39.95
218,UNK,116.78,39.95
219,UNK,116.78,39.94
220,UNK,116.76,39.94
221,UNK,116.73,39.93
222,UNK,116.72,39.92
223,UNK,116.69,39.92
224,UNK,116.63,39.93
225,UNK,116.52,39.91
226,UNK,116.45,39.88
227,UNK,116.45,39.87
228,UNK,116.45,39.86
229,UNK,116.46,39.86
230,UNK,116.46,39.87
231,UNK,116.47,39.87
232,UNK,116.47,39.88
233,UNK,116.47,39.89
234,UNK,116.47,39.9
235,UNK,116.55,39.91
236,UNK,116.59,39.91
237,UNK,116.64,39.92
238,UNK,116.66,39.92
239,UNK,116.42,39.91
240,UNK,116.41,39.9
241,UNK,116.34,39.95
242,UNK,116.33,40.02
243,UNK,116.5,40.01
244,UNK,116.51,40.02
245,UNK,116.31,39.94
246,UNK,116.34,39.92
247,UNK,116.36,39.92
248,UNK,116.45,39.89
249,UNK,116.44,39.88
250,UNK,116.44,39.87
251,UNK,116.43,39.87
252,UNK,116.43,39.88
253,UNK,116.43,39.86
254,UNK,116.42,39.86
255,UNK,116.46,39.89
256,UNK,116.46,39.88
257,UNK,116.42,39.9
258,UNK,116.34,40.0
259,UNK,116.44,40.0
260,UNK,116.45,40.01
261,UNK,116.47,40.01
262,UNK,116.48,40.01
263,UNK,116.46,40.01
264,UNK,116.45,40.02
265,UNK,116.46,40.03
266,UNK,116.47,40.03
267,UNK,116.47,40.04
268,UNK,116.48,40.05
269,UNK,116.48,40.06
270,UNK,116.48,40.08
271,UNK,116.48,40.09
272,UNK,116.48,40.11
273,UNK,116.48,40.12
274,UNK,116.48,40.14
275,UNK,116.48,40.16
276,UNK,116.48,40.17
277,UNK,116.48,40.18
278,UNK,116.49,40.2
279,UNK,116.5,40.21
280,UNK,116.49,40.21
281,UNK,116.48,40.19
282,UNK,116.48,40.15
283,UNK,116.48,40.1
284,UNK,116.47,40.09
285,UNK,116.49,40.1
286,UNK,116.49,40.11
287,UNK,116.49,40.12
288,UNK,116.49,40.13
289,UNK,116.48,40.04
290,UNK,116.37,39.98
291,UNK,116.38,39.98
292,UNK,116.38,39.97
293,UNK,116.46,39.95
294,UNK,116.43,39.91
295,UNK,116.35,39.96
296,UNK,116.35,39.98
297,UNK,116.34,40.01
298,UNK,116.34,40.02
299,UNK,116.35,40.02
300,UNK,116.34,40.03
301,UNK,116.34,40.04
302,UNK,116.33,40.04
303,UNK,116.33,40.05
304,UNK,116.32,40.05
305,UNK,116.32,40.06
306,UNK,116.31,40.07
307,UNK,116.3,40.08
308,UNK,116.3,40.09
309,UNK,116.29,40.09
310,UNK,116.29,40.1
311,UNK,116.28,40.1
312,UNK,116.27,40.11
313,UNK,116.27,40.12
314,UNK,116.26,40.12
315,UNK,116.25,40.12
316,UNK,116.24,40.12
317,UNK,116.23,40.12
318,UNK,116.22,40.12
319,UNK,116.21,40.12
320,UNK,116.2,40.12
321,UNK,116.19,40.12
322,UNK,116.18,40.12
323,UNK,116.17,40.13
324,UNK,116.16,40.13
325,UNK,116.15,40.13
326,UNK,116.14,40.13
327,UNK,116.13,40.13
328,UNK,116.13,40.12
329,UNK,116.13,40.11
330,UNK,116.12,40.11
331,UNK,116.11,40.11
332,UNK,116.1,40.11
333,UNK,116.09,40.1
334,UNK,116.1,40.1
335,UNK,116.1,40.09
336,UNK,116.09,40.09
337,UNK,116.08,40.09
338,UNK,116.08,40.1
339,UNK,116.07,40.1
340,UNK,116.09,40.11
341,UNK,116.11,40.1
342,UNK,116.11,40.09
343,UNK,116.12,40.09
344,UNK,116.12,40.08
345,UNK,116.11,40.08
346,UNK,116.13,40.09
347,UNK,116.13,40.1
348,UNK,116.13,40.14
349,UNK,116.28,40.11
350,UNK,116.32,40.07
351,UNK,116.3,40.07
352,UNK,116.3,40.06
353,UNK,116.3,40.05
354,UNK,116.31,40.04
355,UNK,116.31,40.03
356,UNK,116.32,39.93
357,UNK,116.33,39.93
358,UNK,116.33,39.92
359,UNK,116.33,39.91
360,UNK,116.32,39.9
361,UNK,116.32,39.91
362,UNK,116.59,40.06
363,UNK,116.59,40.07
364,UNK,116.36,39.98
365,UNK,116.36,39.97
366,UNK,116.36,39.96
367,UNK,116.37,39.96
368,UNK,116.3,40.02
369,UNK,116.29,40.02
370,UNK,116.28,40.01
371,UNK,116.28,40.02
372,UNK,116.27,40.03
373,UNK,116.26,40.04
374,UNK,116.25,40.04
375,UNK,116.25,40.05
376,UNK,116.24,40.06
377,UNK,116.24,40.07
378,UNK,116.23,40.08
379,UNK,116.24,40.08
380,UNK,116.27,40.02
381,UNK,116.25,40.0
382,UNK,116.24,40.0
383,UNK,116.23,40.0
384,UNK,116.22,40.0
385,UNK,116.22,39.99
386,UNK,116.21,39.99
387,UNK,116.2,39.99
388,UNK,116.2,40.0
389,UNK,116.19,40.0
390,UNK,116.19,40.01
391,UNK,116.18,40.0
392,UNK,116.17,40.0
393,UNK,116.16,40.0
394,UNK,116.15,40.0
395,UNK,116.15,39.99
396,UNK,116.16,39.99
397,UNK,116.17,39.99
398,UNK,116.19,39.99
399,UNK,116.33,40.07
400,UNK,116.34,40.07
401,UNK,116.34,40.08
402,UNK,116.29,40.06
403,UNK,116.32,40.03
404,UNK,116.39,39.98
405,UNK,116.35,39.97
406,UNK,116.3,40.04
407,UNK,116.37,39.97
408,UNK,116.39,39.97
409,UNK,116.4,39.97
410,UNK,116.41,39.97
411,UNK,116.42,39.97
412,UNK,116.43,39.97
413,UNK,116.44,39.96
414,UNK,116.43,39.96
415,UNK,116.42,39.96
416,UNK,116.44,39.95
417,UNK,116.31,39.96
418,UNK,116.3,39.96
419,UNK,116.3,39.97
420,UNK,116.22,39.9
421,UNK,116.19,39.91
422,UNK,116.18,39.91
423,UNK,116.18,39.92
424,UNK,116.18,39.93
425,UNK,116.19,39.93
426,UNK,116.19,39.94
427,UNK,116.19,39.95
428,UNK,116.18,39.95
429,UNK,116.18,39.96
430,UNK,116.17,39.96
431,UNK,116.36,39.91
432,UNK,116.31,39.9
433,UNK,116.3,39.9
434,UNK,116.29,39.9
435,UNK,116.28,39.9
436,UNK,116.25,39.9
437,UNK,116.26,39.88
438,UNK,116.26,39.89
439,UNK,116.19,39.92
440,UNK,116.2,39.93
441,UNK,116.2,39.94
442,UNK,116.17,39.92
443,UNK,116.16,39.92
444,UNK,116.15,39.92
445,UNK,116.14,39.92
446,UNK,116.14,39.93
447,UNK,116.13,39.93
448,UNK,116.12,39.94
449,UNK,116.11,39.94
450,UNK,116.11,39.93
451,UNK,116.11,39.92
452,UNK,116.11,39.91
453,UNK,116.1,39.9
454,UNK,116.1,39.89
455,UNK,116.11,39.89
456,UNK,116.12,39.89
457,UNK,116.13,39.89
458,UNK,116.15,39.89
459,UNK,116.16,39.89
460,UNK,116.17,39.89
461,UNK,116.18,39.89
462,UNK,116.36,39.94
463,UNK,116.34,39.91
464,UNK,116.37,40.0
465,UNK,116.36,40.0
466,UNK,116.3,39.91
467,UNK,116.29,39.91
468,UNK,116.28,39.91
469,UNK,116.26,39.91
470,UNK,116.25,39.91
471,UNK,116.24,39.91
472,UNK,116.23,39.91
473,UNK,116.22,39.91
474,UNK,116.37,39.92
475,UNK,116.38,39.89
476,UNK,116.4,39.93
477,UNK,116.41,39.93
478,UNK,116.42,39.93
479,UNK,116.43,39.93
480,UNK,116.44,39.93
481,UNK,116.45,39.93
482,UNK,116.46,39.93
483,UNK,116.46,39.94
484,UNK,116.44,39.91
485,UNK,116.45,39.91
486,UNK,116.44,39.9
487,UNK,116.46,39.9
488,UNK,116.45,39.9
489,UNK,116.47,39.93
490,UNK,116.46,39.91
491,UNK,116.3,39.88
492,UNK,116.65,39.89
493,UNK,116.66,39.89
494,UNK,116.66,39.88
495,UNK,116.65,39.88
496,UNK,116.63,39.9
497,UNK,116.34,39.88
498,UNK,116.34,39.87
499,UNK,116.34,39.86
500,UNK,116.34,39.85
501,UNK,116.34,39.84
502,UNK,116.34,39.83
503,UNK,116.34,39.82
504,UNK,116.34,39.81
505,UNK,116.34,39.8
506,UNK,116.34,39.79
507,UNK,116.34,39.78
508,UNK,116.35,39.79
509,UNK,116.35,39.84
510,UNK,116.36,39.84
511,UNK,116.36,39.85
512,UNK,116.36,39.86
513,UNK,116.36,39.87
514,UNK,116.35,39.87
515,UNK,116.4,39.92
516,UNK,116.41,39.89
517,UNK,116.29,40.05
518,UNK,116.37,39.89
519,UNK,116.2,40.01
520,UNK,116.36,39.95
521,UNK,116.4,40.0
522,UNK,116.4,40.01
523,UNK,116.4,40.02
524,UNK,116.4,40.03
525,UNK,116.41,40.04
526,UNK,116.41,40.05
527,UNK,116.41,40.06
528,UNK,116.4,40.06
529,UNK,116.4,40.07
530,UNK,116.4,40.04
531,UNK,116.39,40.0
532,UNK,116.38,40.0
533,UNK,116.47,39.96
534,UNK,116.48,39.95
535,UNK,116.48,39.94
536,UNK,116.48,39.93
537,UNK,116.48,39.92
538,UNK,116.4,39.95
539,UNK,116.39,39.95
540,UNK,116.38,39.95
541,UNK,116.29,39.83
542,UNK,116.29,39.84
543,UNK,116.36,40.07
544,UNK,116.37,40.07
545,UNK,116.39,40.06
546,UNK,116.4,40.05
547,UNK,116.42,40.04
548,UNK,116.43,40.04
549,UNK,116.44,40.04
550,UNK,116.45,40.03
551,UNK,116.43,39.98
552,UNK,116.6,40.08
553,UNK,116.45,39.96
554,UNK,116.45,39.95
555,UNK,116.46,39.92
556,UNK,116.45,39.92
557,UNK,116.44,39.86
558,UNK,116.41,39.86
559,UNK,116.4,39.86
560,UNK,116.39,39.86
561,UNK,116.38,39.86
562,UNK,116.37,39.86
563,UNK,116.35,39.85
564,UNK,116.34,39.77
565,UNK,116.34,39.76
566,UNK,116.33,39.76
567,UNK,116.33,39.75
568,UNK,116.33,39.74
569,UNK,116.33,39.73
570,UNK,116.34,39.73
571,UNK,116.34,39.72
572,UNK,116.35,39.72
573,UNK,116.35,39.71
574,UNK,116.36,39.71
575,UNK,116.36,39.72
576,UNK,116.51,39.92
577,UNK,116.52,39.92
578,UNK,116.53,39.92
579,UNK,116.6,39.9
580,UNK,116.55,39.92
581,UNK,116.54,39.92
582,UNK,116.57,39.94
583,UNK,116.38,39.88
584,UNK,116.39,39.88
585,UNK,116.4,39.89
586,UNK,116.41,39.88
587,UNK,116.42,39.88
588,UNK,116.44,39.89
589,UNK,116.41,39.87
590,UNK,116.42,39.87
591,UNK,116.39,39.92
592,UNK,116.38,39.92
593,UNK,116.43,39.89
594,UNK,116.35,40.0
595,UNK,116.35,40.01
596,UNK,116.35,40.03
597,UNK,116.26,40.13
598,UNK,116.26,40.14
599,UNK,116.25,40.14
600,UNK,116.25,40.15
601,UNK,116.24,40.16
602,UNK,116.24,40.17
603,UNK,116.23,40.18
604,UNK,116.23,40.19
605,UNK,116.22,40.2
606,UNK,116.22,40.21
607,UNK,116.22,40.22
608,UNK,116.23,40.22
609,UNK,116.24,40.22
610,UNK,116.25,40.22
611,UNK,116.26,40.22
612,UNK,116.24,40.21
613,UNK,116.36,40.01
614,UNK,116.43,39.9
615,UNK,116.4,39.87
616,UNK,116.39,39.87
617,UNK,116.37,39.87
618,UNK,116.33,39.85
619,UNK,116.31,39.85
620,UNK,116.29,39.85
621,UNK,116.27,39.84
622,UNK,116.27,39.83
623,UNK,116.27,39.81
624,UNK,116.27,39.79
625,UNK,116.3,39.75
626,UNK,116.31,39.73
627,UNK,116.34,39.71
628,UNK,116.36,39.69
629,UNK,116.38,39.67
630,UNK,116.41,39.66
631,UNK,116.44,39.64
632,UNK,116.46,39.63
633,UNK,116.44,39.65
634,UNK,116.27,39.8
635,UNK,116.27,39.82
636,UNK,116.3,39.85
637,UNK,116.32,39.85
638,UNK,116.38,39.87
639,UNK,116.29,39.92
640,UNK,116.29,39.94
641,UNK,116.29,39.95
642,UNK,116.29,39.96
643,UNK,116.28,39.99
644,UNK,116.45,39.99
645,UNK,116.37,40.01
646,UNK,116.24,40.18
647,UNK,116.24,40.19
648,UNK,116.25,40.19
649,UNK,116.23,40.2
650,UNK,116.23,40.17
651,UNK,116.31,40.06
652,UNK,116.31,40.05
653,UNK,116.38,40.06
654,UNK,116.41,40.03
655,UNK,116.41,40.02
656,UNK,116.41,40.01
657,UNK,116.41,40.0
658,UNK,116.35,40.07
659,UNK,116.42,40.05
660,UNK,116.31,39.95
661,UNK,116.3,39.95
662,UNK,116.3,39.94
663,UNK,116.3,39.93
664,UNK,116.29,39.89
665,UNK,116.35,39.88
666,UNK,116.36,39.88
667,UNK,116.45,40.0
668,UNK,116.46,40.0
669,UNK,116.35,40.06
670,UNK,116.31,39.93
671,UNK,116.43,39.94
672,UNK,116.42,39.94
673,UNK,116.42,39.92
674,UNK,116.42,39.95
675,UNK,116.41,39.96
676,UNK,116.28,39.76
677,UNK,116.33,39.71
678,UNK,116.35,39.7
679,UNK,116.37,39.68
680,UNK,116.39,39.67
681,UNK,116.42,39.66
682,UNK,116.58,40.09
683,UNK,116.4,39.98
684,UNK,116.4,39.96
685,UNK,116.41,39.95
686,UNK,116.43,39.95
687,UNK,116.41,39.92
688,UNK,116.28,39.96
689,UNK,116.26,39.95
690,UNK,116.25,39.95
691,UNK,116.24,39.95
692,UNK,116.23,39.95
693,UNK,116.22,39.95
694,UNK,116.28,39.92
695,UNK,116.25,39.87
696,UNK,116.24,39.93
697,UNK,116.23,39.86
698,UNK,116.54,39.93
699,UNK,116.24,39.92
700,UNK,116.31,39.76
701,UNK,116.32,39.76
702,UNK,116.32,39.75
703,UNK,116.32,39.74
704,UNK,116.31,39.74
705,UNK,116.3,39.74
706,UNK,116.29,39.74
707,UNK,116.28,39.74
708,UNK,116.29,39.73
709,UNK,116.59,40.09
710,UNK,116.49,40.09
711,UNK,116.48,40.07
712,UNK,116.17,40.12
713,UNK,116.33,40.03
714,UNK,116.39,40.03
715,UNK,116.37,40.03
716,UNK,116.36,40.02
717,UNK,116.3,39.89
718,UNK,116.31,39.87
719,UNK,116.32,39.87
720,UNK,116.33,39.87
721,UNK,116.33,39.86
722,UNK,116.32,39.86
723,UNK,116.37,39.88
724,UNK,116.47,39.85
725,UNK,116.29,40.07
726,UNK,116.28,40.08
727,UNK,116.27,40.1
728,UNK,116.25,40.13
729,UNK,116.24,40.15
730,UNK,116.22,40.16
731,UNK,116.21,40.17
732,UNK,116.2,40.18
733,UNK,116.19,40.18
734,UNK,116.19,40.19
735,UNK,116.2,40.19
736,UNK,116.21,40.19
737,UNK,116.22,40.18
738,UNK,116.21,40.18
739,UNK,116.23,40.21
740,UNK,116.31,40.08
741,UNK,116.3,39.87
742,UNK,116.3,39.86
743,UNK,116.31,39.86
744,UNK,116.29,39.86
745,UNK,116.29,40.08
746,UNK,116.28,40.09
747,UNK,116.18,40.19
748,UNK,116.18,40.2
749,UNK,116.17,40.21
750,UNK,116.15,40.22
751,UNK,116.12,40.23
752,UNK,116.11,40.23
753,UNK,116.12,40.24
754,UNK,116.13,40.24
755,UNK,116.13,40.25
756,UNK,116.12,40.26
757,UNK,116.11,40.26
758,UNK,116.1,40.27
759,UNK,116.09,40.27
760,UNK,116.08,40.28
761,UNK,116.07,40.28
762,UNK,116.07,40.29
763,UNK,116.06,40.3
764,UNK,116.05,40.31
765,UNK,116.04,40.31
766,UNK,116.04,40.32
767,UNK,116.03,40.33
768,UNK,116.03,40.34
769,UNK,116.02,40.34
770,UNK,116.01,40.35
771,UNK,116.01,40.34
772,UNK,116.0,40.36
773,UNK,115.99,40.36
774,UNK,115.98,40.36
775,UNK,115.97,40.36
776,UNK,115.96,40.36
777,UNK,115.95,40.37
778,UNK,115.93,40.37
779,UNK,115.92,40.38
780,UNK,115.92,40.39
781,UNK,115.93,40.4
782,UNK,115.94,40.42
783,UNK,115.96,40.43
784,UNK,115.97,40.43
785,UNK,115.98,40.43
786,UNK,115.98,40.44
787,UNK,115.95,40.42
788,UNK,115.93,40.41
789,UNK,115.92,40.4
790,UNK,116.02,40.35
791,UNK,116.04,40.33
792,UNK,116.05,40.3
793,UNK,116.09,40.28
794,UNK,116.12,40.25
795,UNK,116.29,39.76
796,UNK,116.32,39.72
797,UNK,116.34,39.7
798,UNK,116.4,39.67
799,UNK,116.42,39.65
800,UNK,116.43,39.65
801,UNK,116.38,39.68
802,UNK,116.32,39.73
803,UNK,116.31,39.88
804,UNK,115.98,39.97
805,UNK,115.98,39.96
806,UNK,115.98,39.95
807,UNK,115.97,39.95
808,UNK,115.98,39.94
809,UNK,115.99,39.94
810,UNK,115.99,39.93
811,UNK,116.0,39.93
812,UNK,116.01,39.93
813,UNK,116.02,39.93
814,UNK,116.03,39.93
815,UNK,116.04,39.93
816,UNK,116.05,39.93
817,UNK,116.06,39.93
818,UNK,116.07,39.93
819,UNK,116.07,39.94
820,UNK,116.08,39.94
821,UNK,116.21,39.84
822,UNK,116.2,39.84
823,UNK,116.2,39.83
824,UNK,116.2,39.82
825,UNK,116.2,39.81
826,UNK,116.19,39.81
827,UNK,116.18,39.81
828,UNK,116.17,39.8
829,UNK,116.17,39.81
830,UNK,116.16,39.81
831,UNK,116.15,39.81
832,UNK,116.14,39.81
833,UNK,116.21,39.82
834,UNK,116.21,39.83
835,UNK,116.28,39.88
836,UNK,116.29,39.88
837,UNK,116.31,39.89
838,UNK,116.23,40.07
839,UNK,116.21,40.07
840,UNK,116.2,40.07
841,UNK,116.19,40.07
842,UNK,116.18,40.07
843,UNK,116.16,40.07
844,UNK,116.14,40.07
845,UNK,116.13,40.07
846,UNK,116.13,40.08
847,UNK,116.09,40.08
848,UNK,116.15,40.07
849,UNK,116.17,40.07
850,UNK,116.22,40.07
851,UNK,116.26,40.05
852,UNK,116.27,40.05
853,UNK,116.28,40.05
854,UNK,116.32,40.04
855,UNK,116.17,39.93
856,UNK,116.16,39.93
857,UNK,116.17,39.94
858,UNK,116.17,39.95
859,UNK,116.16,39.96
860,UNK,116.17,39.97
861,UNK,116.17,39.98
862,UNK,116.16,39.97
863,UNK,116.15,39.96
864,UNK,116.14,39.96
865,UNK,116.13,39.95
866,UNK,116.13,39.96
867,UNK,116.12,39.95
868,UNK,116.13,39.94
869,UNK,116.14,39.94
870,UNK,116.15,39.94
871,UNK,116.15,39.93
872,UNK,116.29,39.97
873,UNK,116.26,40.03
874,UNK,116.61,39.9
875,UNK,116.63,39.91
876,UNK,116.64,39.9
877,UNK,116.64,39.89
878,UNK,116.67,39.88
879,UNK,116.68,39.87
880,UNK,116.69,39.87
881,UNK,116.7,39.87
882,UNK,116.71,39.86
883,UNK,116.72,39.86
884,UNK,116.73,39.86
885,UNK,116.74,39.85
886,UNK,116.75,39.85
887,UNK,116.76,39.84
888,UNK,116.77,39.84
889,UNK,116.77,39.83
890,UNK,116.77,39.82
891,UNK,116.77,39.81
892,UNK,116.78,39.8
893,UNK,116.78,39.79
894,UNK,116.78,39.78
895,UNK,116.79,39.78
896,UNK,116.78,39.77
897,UNK,116.79,39.77
898,UNK,116.78,39.76
899,UNK,116.78,39.75
900,UNK,116.78,39.74
901,UNK,116.79,39.74
902,UNK,116.78,39.73
903,UNK,116.78,39.72
904,UNK,116.78,39.71
905,UNK,116.78,39.7
906,UNK,116.77,39.69
907,UNK,116.77,39.68
908,UNK,116.77,39.67
909,UNK,116.78,39.67
910,UNK,116.78,39.66
911,UNK,116.78,39.65
912,UNK,116.78,39.64
913,UNK,116.78,39.63
914,UNK,116.73,39.63
915,UNK,116.72,39.64
916,UNK,116.7,39.64
917,UNK,116.68,39.65
918,UNK,116.67,39.66
919,UNK,116.66,39.67
920,UNK,116.65,39.68
921,UNK,116.63,39.69
922,UNK,116.62,39.71
923,UNK,116.6,39.72
924,UNK,116.59,39.73
925,UNK,116.57,39.74
926,UNK,116.56,39.76
927,UNK,116.55,39.77
928,UNK,116.53,39.79
929,UNK,116.52,39.8
930,UNK,116.51,39.81
931,UNK,116.5,39.82
932,UNK,116.49,39.82
933,UNK,116.48,39.84
934,UNK,116.26,39.86
935,UNK,116.39,39.85
936,UNK,116.39,39.84
937,UNK,116.39,39.83
938,UNK,116.4,39.83
939,UNK,116.4,39.82
940,UNK,116.4,39.81
941,UNK,116.4,39.8
942,UNK,116.39,39.8
943,UNK,116.38,39.8
944,UNK,116.37,39.8
945,UNK,116.38,39.79
946,UNK,116.38,39.78
947,UNK,116.42,40.0
948,UNK,116.3,40.03
949,UNK,116.29,40.04
950,UNK,116.47,39.92
951,UNK,116.33,39.72
952,UNK,116.45,39.64
953,UNK,116.35,39.69
954,UNK,116.4,39.66
955,UNK,116.48,39.9
956,UNK,116.49,39.9
957,UNK,116.5,39.9
958,UNK,116.51,39.9
959,UNK,116.52,39.9
960,UNK,116.53,39.9
961,UNK,116.54,39.9
962,UNK,116.55,39.9
963,UNK,116.56,39.9
964,UNK,116.57,40.07
965,UNK,116.57,39.9
966,UNK,116.06,39.63
967,UNK,116.08,39.64
968,UNK,116.09,39.66
969,UNK,116.1,39.67
970,UNK,116.11,39.69
971,UNK,116.13,39.71
972,UNK,116.14,39.72
973,UNK,116.14,39.73
974,UNK,116.15,39.73
975,UNK,116.15,39.74
976,UNK,116.16,39.75
977,UNK,116.18,39.78
978,UNK,116.19,39.79
979,UNK,116.18,39.8
980,UNK,116.16,39.82
981,UNK,116.16,39.83
982,UNK,116.17,39.84
983,UNK,116.17,39.86
984,UNK,116.17,39.87
985,UNK,116.17,39.88
986,UNK,116.19,39.89
987,UNK,116.22,39.89
988,UNK,116.24,39.89
989,UNK,116.25,39.89
990,UNK,116.28,39.89
991,UNK,116.32,39.89
992,UNK,116.6,40.07
993,UNK,116.6,40.06
994,UNK,116.59,40.12
995,UNK,116.63,40.18
996,UNK,116.7,40.22
997,UNK,116.81,40.22
